question_id,category,question,answer
FAQ001,Account Opening,¿Cómo puedo abrir una cuenta de ahorros?,"Para abrir una cuenta de ahorros necesita: 1) Cédula de identidad vigente, 2) Comprobante de domicilio reciente, 3) Depósito inicial mínimo de ₡500. Puede hacerlo en cualquier sucursal o a través de nuestra app móvil."
FAQ002,Account Opening,¿Cuál es el monto mínimo para abrir una cuenta?,"El monto mínimo varía según el tipo de cuenta: Cuenta Ahorro Básica ₡500, Cuenta Corriente Premium ₡5,000, Cuenta Ahorro Joven ₡100."
FAQ003,Cards,¿Cómo solicito una tarjeta de crédito?,"Puede solicitar una tarjeta de crédito en línea a través de nuestra página web, en nuestra app móvil, o visitando cualquier sucursal. Necesitará tener ingresos comprobables y buen historial crediticio."
FAQ004,Cards,¿Qué hago si pierdo mi tarjeta de débito?,"Debe bloquear inmediatamente su tarjeta llamando a nuestra línea de atención 24/7 al 2000-0000, o a través de la app móvil en la sección de Seguridad. Luego puede solicitar una reposición."
FAQ005,Loans,¿Cuáles son los requisitos para un préstamo personal?,"Los requisitos incluyen: 1) Ser mayor de 21 años, 2) Tener ingresos comprobables mínimos de ₡400,000 mensuales, 3) Buen historial crediticio, 4) Antigüedad laboral mínima de 6 meses."
FAQ006,Loans,¿Cuánto tiempo tarda la aprobación de un préstamo?,"Los préstamos personales se aprueban en 24-48 horas. Los préstamos hipotecarios pueden tardar 7-15 días hábiles dependiendo de la documentación requerida."
FAQ007,Online Banking,¿Cómo activo mi banca en línea?,"Para activar su banca en línea: 1) Visite nuestra página web, 2) Haga clic en 'Registrarse', 3) Ingrese su número de cuenta y cédula, 4) Cree su usuario y contraseña, 5) Valide su correo electrónico."
FAQ008,Online Banking,¿Es segura la banca en línea?,"Sí, utilizamos encriptación de 256 bits, autenticación de dos factores, y monitoreo 24/7 para proteger sus transacciones. Nunca solicitamos su contraseña por correo o teléfono."
FAQ009,Transfers,¿Cuál es el límite para transferencias en línea?,"Los límites diarios son: Transferencias entre cuentas propias (ilimitado), Transferencias a terceros mismo banco (₡5,000,000), Transferencias SINPE (₡3,000,000). Puede solicitar aumentos temporales."
FAQ010,Transfers,¿Cuánto tardan las transferencias internacionales?,"Las transferencias internacionales vía SWIFT tardan 3-5 días hábiles. Las transferencias express pueden completarse en 24 horas con un cargo adicional."
FAQ011,Fees,¿Qué comisiones cobra el banco?,"Las comisiones varían según el servicio: Retiros en cajeros de otros bancos ₡500, Transferencias SINPE ₡100, Emisión de cheques ₡50 por unidad, Certificaciones ₡2,000. Consulte el tarifario completo en nuestra web."
FAQ012,Fees,¿Cómo puedo evitar comisiones mensuales?,"Puede evitar comisiones manteniendo el saldo mínimo requerido, realizando al menos 3 transacciones mensuales con su tarjeta de débito, o teniendo su salario depositado en su cuenta."
FAQ013,Security,¿Cómo protejo mi cuenta de fraudes?,"Recomendaciones: 1) No comparta su contraseña, 2) Active notificaciones de transacciones, 3) Revise sus estados de cuenta regularmente, 4) Use autenticación de dos factores, 5) No acceda a banca en línea desde redes WiFi públicas."
FAQ014,Security,¿Qué hago si detecto una transacción no autorizada?,"Contacte inmediatamente a nuestro centro de atención al 2000-0000. Bloquearemos su cuenta, investigaremos la transacción, y si se confirma el fraude, reembolsaremos el monto en 10 días hábiles."
FAQ015,Investments,¿Qué opciones de inversión ofrecen?,"Ofrecemos: 1) Depósitos a plazo fijo (6, 12, 24 meses), 2) Fondos de inversión (conservadores, moderados, agresivos), 3) Acciones y bonos, 4) Planes de ahorro programado. Contamos con asesores especializados."
FAQ016,Investments,¿Cuál es el rendimiento de los depósitos a plazo?,"Los rendimientos actuales son: 6 meses 3.5%, 12 meses 4.5%, 24 meses 5.2%. Las tasas están sujetas a cambios según condiciones del mercado."
FAQ017,Mobile Banking,¿Cómo descargo la app móvil?,"Busque 'BNCR Móvil' en App Store (iOS) o Google Play (Android). La app es gratuita y compatible con iOS 12+ y Android 8+."
FAQ018,Mobile Banking,¿Qué puedo hacer en la app móvil?,"En la app puede: consultar saldos, realizar transferencias, pagar servicios, solicitar productos, ubicar sucursales y cajeros, contactar soporte, y gestionar sus tarjetas."
FAQ019,Customer Service,¿Cuál es el horario de atención al cliente?,"Nuestro call center está disponible 24/7 al 2000-0000. Las sucursales atienden lunes a viernes 9:00-16:00, sábados 9:00-12:00. El chat en línea está disponible 24/7."
FAQ020,Customer Service,¿Cómo puedo presentar una queja o reclamo?,"Puede presentar quejas: 1) En cualquier sucursal, 2) Por teléfono al 2000-0000, 3) A través de la app móvil, 4) Por correo electrónico a quejas@bncr.fi.cr. Recibirá respuesta en máximo 15 días hábiles."

